Doc-IDs,Reference-Code,Paper-Type,Pub-Date
10.1175/JAMC-D-13-0361.1,T,P,2014-09
10.1002/2014JD021696,C,P,2014-07-27
10.1002/env.2318,C,P,2014-11-11
10.1002/env.2329,C,P,2015-01-26
10.1002/jame.20045,C,P,2013-10-01
10.1002/jgrd.50543,C,P,2013-07-11
10.1002/joc.4636,C,P,2016-02
10.1007/978-3-319-17220-0_9,C,P,2015
10.1007/s00382-014-2098-4,C,P,2014-03-13
10.1007/s00382-014-2413-0,C,P,2014-11-22
10.1007/s00477-014-0988-y,C,P,2014-12-05
10.1007/s10113-012-0375-5,C,P,2012-11-17
10.1007/s40641-015-0013-7,C,P,2015-07-01
10.1016/j.dendro.2014.03.003,C,P,2014
10.1016/j.ecoleng.2016.01.014,C,P,2016-04
10.1016/j.jhydrol.2014.11.062,C,P,2015-02
10.1016/j.renene.2015.06.005,C,P,2016-01
10.1038/nclimate2631,C,P,2015-05-18
10.1061/(ASCE)HE.1943-5584.0000967,C,P,2014-11
10.1080/10962247.2013.851044,C,P,2014-01-21
10.1111/1752-1688.12308,C,P,2015-05-21
10.1111/pce.12485,C,P,2015-01-23
10.1175/EI-D-15-0024.1,C,P,2016-04
10.1175/JCLI-D-12-00452.1,C,P,2013-08
10.1175/JCLI-D-12-00538.1,C,P,2013-11
10.1175/JCLI-D-12-00744.1,C,P,2013-11
10.1175/JCLI-D-13-00457.1,C,P,2015-02
10.1175/JCLI-D-14-00808.1,C,P,2015-10
10.3354/cr01199,C,P,2013-12-09
ftp://205.193.112.140/pub/ocean/Loder/ACCASP-Atlantic-Contributions/Loder-et-al_NARRCAPP_AirT_27Aug2013.doc,C,G,NA
http://acwi.gov/sos/pubs/3rdJFIC/Contents/2E-Landwehr.pdf,C,G,NA
http://arxiv.org/abs/1508.05938,C,G,NA
http://digitalcommons.mtech.edu/grad_rsch/16/,C,G,NA
http://hdl.handle.net/2429/45444,C,G,NA
http://wrapair2.com/pdf/REACHFAQS-WEST_TechnicalProposal_11_16_2012final.pdf,C,G,NA
http://www.cehq.gouv.qc.ca/hydrometrie/atlas/annexes.pdf,C,G,NA
http://www.iemss.org/sites/iemss2014/papers/iemss2014_submission_402.pdf,C,G,NA
http://www.ouranos.ca/en/newsletter/documents/RapaicEn.pdf,C,G,NA
https://circle.ubc.ca/bitstream/handle/2429/45444/ubc_2014_spring_gaitanospina_carlosfelipe.pdf?sequence=6,C,G,NA
https://corpsclimate.us/docs/Coralville_Adaptation_Pilot_Study.pdf,C,G,NA
https://www.researchgate.net/profile/Ryan_Morrison/publication/267865949_Gila_River_Flow_Needs_Assessment/links/545b9e9a0cf249070a7a7854.pdf#page=52,C,G,NA